Data_ID,Country_Code,Year,Country,Area_Harvested_ha,Production_tonnes,Yield_hg_per_ha,GDP,Mortalilty,Fertility,Population,Trade_Import,Trade_Export,Total_Violent_fatalities
1,AFG,1961,Afghanistan,3704528,4951700,1472038,224,0,0,0,0,0,0
2,AFG,1962,Afghanistan,3831256,5028056,1518414,224,0,0,0,0,0,0
3,AFG,1963,Afghanistan,3864108,4801825,1516321,224,0,0,0,0,0,0
4,AFG,1964,Afghanistan,3894008,5184600,1560220,224,0,0,0,0,0,0
5,AFG,1965,Afghanistan,3864739,5335700,1662188,224,0,0,0,0,0,0
6,AFG,1966,Afghanistan,3844300,5087600,1680926,224,0,0,0,0,0,0
7,AFG,1967,Afghanistan,3523200,5624290,1825190,224,0,0,0,0,0,0
8,AFG,1968,Afghanistan,3442800,5748100,1877911,224,0,0,0,0,0,0
9,AFG,1969,Afghanistan,3486600,5936600,1844092,224,0,0,0,0,0,0
10,AFG,1970,Afghanistan,3583000,5299700,1753634,157.1874225,14.993,7.45,11126,0,0,0
11,AFG,1971,Afghanistan,3803300,5001000,1572209,160.3728365,14.616,7.45,11418,0,0,0
12,AFG,1972,Afghanistan,4331700,5707100,1680409,136.1170149,14.246,7.45,11722,0,0,0
13,AFG,1973,Afghanistan,3782300,6216100,1679758,144.1103198,13.874,7.45,12028,0,0,0
14,AFG,1974,Afghanistan,3851600,6424000,1683458,174.9420385,13.497,7.45,12322,0,0,0
15,AFG,1975,Afghanistan,3896700,6668300,1791645,187.9756038,13.113,7.45,12590,0,0,0
16,AFG,1976,Afghanistan,3950650,7019000,1836254,199.026173,12.722,7.45,12840,0,0,0
17,AFG,1977,Afghanistan,3903700,6028000,1404918,226.005343,12.332,7.449,13068,0,0,0
18,AFG,1978,Afghanistan,3890900,6467000,1665456,249.2873858,11.948,7.449,13238,0,0,0
19,AFG,1979,Afghanistan,3653700,6250500,1749132,277.9007376,11.572,7.449,13307,0,0,54
20,AFG,1980,Afghanistan,3447400,6028000,1807040,274.8808679,11.204,7.449,13248,0,0,0
21,AFG,1981,Afghanistan,3365000,5830100,1683421,266.4930423,10.845,7.449,13054,0,0,0
22,AFG,1982,Afghanistan,3237700,5608400,1699178,269.7239487,10.495,7.45,12750,0,0,0
23,AFG,1983,Afghanistan,3078200,5448700,1828436,274.3857617,10.154,7.452,12389,0,0,0
24,AFG,1984,Afghanistan,2983800,5265800,1825562,278.9419594,9.825,7.455,12047,0,0,0
25,AFG,1985,Afghanistan,2861400,4995500,1643162,281.9219134,9.512,7.458,11783,0,0,0
26,AFG,1986,Afghanistan,2744400,4751600,1818967,286.232933,9.218,7.46,11601,0,0,0
27,AFG,1987,Afghanistan,2852100,4959600,1836449,251.0266877,8.944,7.461,11503,0,0,0
28,AFG,1988,Afghanistan,2687600,4571200,1809939,230.8574514,8.693,7.461,11541,0,0,128
29,AFG,1989,Afghanistan,2649210,4341700,1800838,283.7757648,8.461,7.461,11778,0,0,5163
30,AFG,1990,Afghanistan,2584292,4286070,1712698,295.6622011,8.247,7.466,12249,0,0,1465
31,AFG,1991,Afghanistan,2720991,4702043,1985022,257.0561933,8.046,7.479,12994,0,0,3344
32,AFG,1992,Afghanistan,2617347,4418138,1973231,248.5188898,7.855,7.502,13981,0,0,4336
33,AFG,1993,Afghanistan,3011684,4949250,1963203,176.5076196,7.668,7.535,15095,0,0,4071
34,AFG,1994,Afghanistan,3138618,5141976,1973382,130.7510506,7.484,7.572,16173,0,0,8959
35,AFG,1995,Afghanistan,3056869,5283207,1978111,189.2623902,7.301,7.606,17100,0,0,5504
36,AFG,1996,Afghanistan,3098783,5330687,1980499,175.3004402,7.12,7.63,17823,0,0,3208
